看完,中文名,bgm.tv评分,豆瓣评分,季度,制作公司,日文名,英文名
v,轻音少女 第一季,8.2,9.1,9.4,京都动画,けいおん！,K-ON!
,轻音少女 第二季,8.4,9.3,10.4,京都动画,けいおん！！,K-ON!!
,日常,8.5,9.4,11.4,京都动画,日常,My Ordinary Life
,干物妹！小埋,6.8,8.2,15.7,动画工房,干物妹！うまるちゃん,Himouto! Umaru-chan Complete Collection
v,埃罗芒阿老师,6.6,7.2,17.4,A-1 Pictures,エロマンガ先生,Eromanga-sensei
,擅长捉弄的高木同学,7.5,9.1,18.1,SHIN-EI动画,からかい上手の高木さん,Teasing Master Takagi-san
v,青春猪头少年不会梦到兔女郎学姐,7.4,9.0,18.10,CloverWorks,青春ブタ野郎はバニーガール先輩の夢を見ない,
v,天使降临到我身边,7.3,8.6,19.1,动画工房,私に天使が舞い降りた,Wataten!: An Angel Flew Down to Me
,擅长捉弄的高木同学 2,7.7,无,19.7,SHIN-EI动画,からかい上手の高木さん②,Teasing Master Takagi-san 2
v,青春猪头少年不会梦到怀梦美少女,7.5,8.7,19.7,CloverWorks,青春ブタ野郎はゆめみる少女の夢を見ない
,魔女之旅,7.2,8.5,20.1,C2C,魔女の旅々,Wandering Witch
v,奇巧计程车,8.5,9.4,21.4,P.I.C.S.×OLM Team Yoshioka,オッドタクシー,ODDTAXI
,擅长捉弄的高木同学 3,8,9.6,22.1,SHIN-EI动画,からかい上手の高木さん③,Teasing Master Takagi-san 3
v,孤独摇滚,8.4,9,22.1,CloverWorks,ぼっち・ざ・ろっく,Bocchi the rock
,间谍过家家,7.2,8.9,22.4,WIT STUDIO×CloverWorks,SPY×FAMILY,SPY×FAMILY
v,别当欧尼酱了,7.6,8.6,23.1,STUDIO BIND,お兄ちゃんはおしまい,Onii-chan wa Oshimai
v,久保同学不放过我,6.3,7.6,23.1,PINE JAM,久保さんは僕を許さない,Kubo-san wa Mob wo Yurusanai
,葬送的芙莉莲,8.6,9.5,23.1,MADHOUSE,葬送のフリーレン,Frieren: Beyond Journey's End
v,青春猪头少年不会梦到娇怜外出妹,6.6,7.5,23.7,CloverWorks,青春ブタ野郎はおでかけシスターの夢を見ない,Seishun Buta Yarou wa Odekake Sister no Yume o Minai
v,青春猪头少年不会梦到红书包女孩,6.3,8.2,23.12,CloverWorks,青春ブタ野郎はランドセルガールの夢を見ない
,憧憬成为魔法少女,7,8.4,24.1,旭Production,魔法少女にあこがれて,"I admire magical girls, and..."
v,少女乐队的呐喊,7.6,8.7,24.4,东映动画,ガールズバンドクライ,GIRLS BAND CRY
v,败犬女主太多了,8,8.6,24.7,A-1 Pictures,負けヒロインが多すぎる,Makeine: Too Many Losing Heroines
,不时用俄语小声说真心话的邻桌艾莉同学,5.6,6.6,24.7,动画工房,時々ボソッとロシア語でデレる隣のアーリャさん,Alya Sometimes Hides Her Feelings in Russian
v,末日后酒店,8.2,8.9,25.4,Cygames Pictures,アポカリプスホテル,Apocalypse Hotel
,拔作岛,7.9,7.8,25.7,Passione,ぬきたし,NUKITASHI
,沉默魔女的秘密,7.0,7.6,25.7,Studio五組,サイレント・ウィッチ 沈黙の魔女の隠しごと,Silent Witch
,青春猪头少年不会梦到圣诞服女郎,7.1,8.5,25.7,CloverWorks,青春ブタ野郎はサンタクロースの夢を見ない,Seishun Buta Yarou wa Santa Claus no Yume wo Minai
